platform,video_title,video_url,author,content,comment_id,likes,time_parsed,video_transcript,scraped_at
YouTube,Festive Dressing Guide For Different Body Types | Indian Wear Styling Guide | Shop Now #Shorts,https://www.youtube.com/watch?v=8NOirEymeO8,@nykaafashionofficial,"Take an outfit pick according to your body type to feel absolutely stunning😍 Shop the look featured by searching the product codes below:⬇️
✨Kohsh- Code🔎8028490
✨Truebrown- Code 🔎8205583
✨Karaj Jaipur - Code 🔎10425506
✨Truebrown- Code 🔎8205530
✨Pomcha Jaipur- Code 🔎9546988",Ugzv2arp3FPH3AeY6at4AaABAg,0,1724233954.36878,Transcript not available,2026-08-21T15:22:34.369089
YouTube,Easy Sundowner Look Decoded With Nykaa Fashion | Stylish & Trendy Co-ord Set Look | Shop Now #Shorts,https://www.youtube.com/watch?v=x6tw43Uv3zA,@nykaafashionofficial,"Shop the look featured by searching the product codes below:
👗10250591
💍833051
👠9284882",UgysxUG4fqPN9mN0zsB4AaABAg,0,1724233961.542034,Transcript not available,2026-08-21T15:22:41.542365
YouTube,Tips To Make Your Work Wear Look Stylish | How To Look Elevate Your Work Look | Shop Now #Shorts,https://www.youtube.com/watch?v=bycpJ3TAK0c,@nykaafashionofficial,"Shop a similar look featured by searching the product codes below:
✨Shirt: 8041031
✨Pants: 7598115
✨Heels: 10163640
✨Earrings: 10139996
✨Bag: 4804055
✨Watch: 8978960",UgzAnGQ31R1pSdG8V_x4AaABAg,0,1724233965.495244,Transcript not available,2026-08-21T15:22:45.495397
YouTube,Tips To Make Your Work Wear Look Stylish | How To Look Elevate Your Work Look | Shop Now #Shorts,https://www.youtube.com/watch?v=bycpJ3TAK0c,@nirja_kamat,❤️🥰,UgwAnTi5wauKMY3yFf94AaABAg,0,1724233965.496549,Transcript not available,2026-08-21T15:22:45.496643
YouTube,Dupatta Hack For Your Festive Outfits | Stylish Way To Style Your Dupatta | Shop Now #shorts,https://www.youtube.com/watch?v=XKIb4Go1QwQ,@nykaafashionofficial,"Try this now only with picks from the trendiest brands on Nykaa Fashion. Shop the look featured by searching the product codes below:
 ⬇️
✨Karaj Jaipur - Code 🔎5065141
✨Likha - Code Code🔎8248784
✨Gajra Gang- Code🔎11392292
✨Eridani- Code🔎4852524
✨Curio Cottage- Code🔎3219448",UgzJZmiThqaYYVhss9d4AaABAg,0,1724233968.35291,Transcript not available,2026-08-21T15:22:48.353216
YouTube,Get Ready For A Brunch Date With Your Girls | All Denim Casual Day Out Look | Shop Now #Shorts,https://www.youtube.com/watch?v=Of51g1Mj7bE,@nykaafashionofficial,"Shop the look featured by searching the product codes below:
✨Denim Jacket: 10019942
✨Jeans: 7478041
✨Black Bralette: 386476
✨Footwear: 6963760
✨Bag: 3377939",UgzE8kwkHbXavCxwN2l4AaABAg,0,1724233971.838198,Transcript not available,2026-08-21T15:22:51.838335
YouTube,Get Ready For A Brunch Date With Your Girls | All Denim Casual Day Out Look | Shop Now #Shorts,https://www.youtube.com/watch?v=Of51g1Mj7bE,@nirja_kamat,favourite denim look!✨💙,Ugxd3uWIuSLdB8je2bB4AaABAg,0,1724233971.839582,Transcript not available,2026-08-21T15:22:51.839702
YouTube,Get Ready For A Brunch Date With Your Girls | All Denim Casual Day Out Look | Shop Now #Shorts,https://www.youtube.com/watch?v=Of51g1Mj7bE,@nykaafashionofficial,Looks so good on you! 🔥,Ugxd3uWIuSLdB8je2bB4AaABAg.9udHSpy80ud9uf8V9oRe0K,0,1724233972.148424,Transcript not available,2026-08-21T15:22:52.148694
YouTube,2 Viral Fashion Hacks You Need To Try | Trendy and Stylish DIY Scarf Tops | Shop Now #shorts,https://www.youtube.com/watch?v=OFt0pAZKLgo,@nykaafashionofficial,"Click the links below to stash your favourite outfits showcased in the video:
1️⃣Hack 1: DIY One-Shoulder Top

Scarf Top- https://shrturl.app/8Vo2Es
Pants- https://shrturl.app/U3Y23k
Necklace- https://shrturl.app/BJsYhK
2️⃣Hack 2: DIY Scarf Top

Scarf - https://shrturl.app/MjATsD
Pants- https://shrturl.app/9o8WmP
Bag- https://shrturl.app/ku80F2",Ugx0JJNtaQM-MB6YiyV4AaABAg,0,1724233983.518483,Transcript not available,2026-08-21T15:23:03.518626
YouTube,4 Jeans Essential For Every Wardrobe | Closet Staple Denim Styles | Shop Now #Shorts,https://www.youtube.com/watch?v=PNIfxR7iIxs,@nykaafashionofficial,"💕 Shop the featured jeans by clicking the links below:
Wide Leg Jeans: https://shrturl.app/OmDItu
Straight Cut Jeans: https://shrturl.app/KLrcs-
Flared Jeans: https://shrturl.app/zafQCN
Ankle Length Jeans: https://shrturl.app/ATJOcZ",UgzPoPLlffafxO-MsJJ4AaABAg,0,1724233986.915042,Transcript not available,2026-08-21T15:23:06.915175
